date,region,product,category,units_sold,unit_price,revenue,rep
2025-01-05,North,Widget A,Hardware,34,19.99,679.66,Priya Shah
2025-01-06,South,Widget B,Hardware,21,24.99,524.79,Tom Reyes
2025-01-08,East,Gadget X,Electronics,12,89.99,1079.88,Priya Shah
2025-01-10,West,Widget A,Hardware,45,19.99,899.55,Lena Ortiz
2025-01-12,North,Gadget Y,Electronics,8,129.99,1039.92,Tom Reyes
2025-01-15,South,Widget C,Hardware,60,14.99,899.40,Lena Ortiz
2025-01-18,East,Gadget X,Electronics,19,89.99,1709.81,Priya Shah
2025-02-02,North,Widget B,Hardware,29,24.99,724.71,Tom Reyes
2025-02-05,West,Gadget Y,Electronics,14,129.99,1819.86,Lena Ortiz
2025-02-09,South,Widget A,Hardware,38,19.99,759.62,Priya Shah
2025-02-14,East,Widget C,Hardware,52,14.99,779.48,Tom Reyes
2025-02-19,North,Gadget X,Electronics,22,89.99,1979.78,Lena Ortiz
2025-02-25,West,Widget B,Hardware,31,24.99,774.69,Priya Shah
2025-03-03,South,Gadget Y,Electronics,17,129.99,2209.83,Tom Reyes
2025-03-08,East,Widget A,Hardware,41,19.99,819.59,Lena Ortiz
2025-03-12,North,Widget C,Hardware,64,14.99,959.36,Priya Shah
2025-03-16,West,Gadget X,Electronics,25,89.99,2249.75,Tom Reyes
2025-03-21,South,Widget B,Hardware,33,24.99,824.67,Lena Ortiz
2025-03-27,East,Gadget Y,Electronics,20,129.99,2599.80,Priya Shah
2025-04-01,North,Widget A,Hardware,48,19.99,959.52,Tom Reyes
2025-04-06,West,Widget C,Hardware,58,14.99,869.42,Lena Ortiz
2025-04-11,South,Gadget X,Electronics,27,89.99,2429.73,Priya Shah
2025-04-16,East,Widget B,Hardware,36,24.99,899.64,Tom Reyes
2025-04-22,North,Gadget Y,Electronics,23,129.99,2989.77,Lena Ortiz
2025-04-28,West,Widget A,Hardware,52,19.99,1039.48,Priya Shah
2025-05-03,South,Widget C,Hardware,61,14.99,914.39,Tom Reyes
2025-05-09,East,Gadget X,Electronics,30,89.99,2699.70,Lena Ortiz
2025-05-14,North,Widget B,Hardware,40,24.99,999.60,Priya Shah
2025-05-20,West,Gadget Y,Electronics,26,129.99,3379.74,Tom Reyes
2025-05-26,South,Widget A,Hardware,55,19.99,1099.45,Lena Ortiz
2025-06-02,East,Widget C,Hardware,65,14.99,974.35,Priya Shah
2025-06-08,North,Gadget X,Electronics,33,89.99,2969.67,Tom Reyes
2025-06-13,West,Widget B,Hardware,44,24.99,1099.56,Lena Ortiz
2025-06-19,South,Gadget Y,Electronics,29,129.99,3769.71,Priya Shah
2025-06-25,East,Widget A,Hardware,58,19.99,1159.42,Tom Reyes
